Input | IR Sensor Values               | Predicted            | Actual              
156   | [0,0,0,0,1,0,0]                | [a1]                 | [b1,b2]             
157   | [0,0,0,0,0,0,0]                | [a1]                 | [r1]                
158   | [0,0,0,1,0,0,0]                | [b1,b2]              | [a1,a2,b1,b2]       
159   | [0,0,0,1,1,0,0]                | [b1,b2]              | [a1]                
160   | [  0,  0, 81,105, 60, 14,  0]  | [f2,f3]              | [e1,e2,f1,f2]       
161   | [0,0,0,2,0,0,0]                | [b1]                 | [r1]                
162   | [0,0,1,0,3,0,0]                | [r1,r2,s1,s2]        | [r1,r2,s1,s2]       
163   | [0,0,0,0,0,1,0]                | [r1,r2,s1,s2]        | [r2]                
164   | [0,0,0,2,0,0,0]                | [b1]                 | [s2]                
165   | [0,1,0,1,0,0,0]                | [b2]                 | [b2]                
166   | [0,0,0,0,2,0,0]                | [s1]                 | [a1,a2]             
167   | [0,0,0,0,0,0,0]                | [a1]                 | [a1,a2]             
168   | [0,0,0,1,2,0,0]                | [r1,r2,s1,s2]        | [a1,a2]             
169   | [  0,  0,  0,  0,226,  5,  0]  | [f3]                 | [f3]                
170   | [1,0,1,0,3,0,1]                | [r1,r2,s1,s2]        | [s1,s2]             
171   | [  0,  1,215,745,  0,  0,  0]  | [e3]                 | [e3]                
172   | [0,0,0,0,3,0,0]                | [r1,r2,s1,s2]        | [r1,r2]             
173   | [0,0,0,0,3,0,0]                | [r1,r2,s1,s2]        | [r2]                
174   | [0,0,0,1,5,0,1]                | [r1,r2,s1,s2]        | [s2]                
175   | [0,0,0,0,3,0,0]                | [r1,r2,s1,s2]        | [s2]                
176   | [0,0,0,2,0,0,0]                | [b1]                 | [b1,b2]             
177   | [0,0,0,0,1,0,0]                | [a1]                 | [r1,r2]             
178   | [  0,  0,  0,  0,226,  2,  0]  | [f3]                 | [f3]                
179   | [  0,  0,  0,  2,227,  5,  0]  | [f3]                 | [f3]                
180   | [0,0,0,1,0,0,0]                | [b1,b2]              | [s1]                
181   | [0,0,0,0,3,0,1]                | [r1,r2,s1,s2]        | [s2]                
182   | [0,0,0,0,0,0,0]                | [a1]                 | [a1]                
183   | [ 0, 0,19,35, 3, 0, 0]         | [e2]                 | [e2,e3]             
184   | [0,0,0,2,0,0,0]                | [b1]                 | [a1,a2]             
185   | [0,1,2,2,2,0,0]                | [b1,b2]              | [b1]                
186   | [0,0,0,3,9,7,0]                | [f2]                 | [f2]                
187   | [ 0, 0,19,35, 1, 0, 0]         | [e2]                 | [e2,e3]             
188   | [  0,  0, 83,108, 60, 18,  0]  | [f2,f3]              | [e1,e2,f1,f2]       
189   | [0,0,0,0,0,0,0]                | [a1]                 | [s2]                
190   | [0,0,0,2,0,0,0]                | [b1]                 | [b2]                
191   | [ 1, 0,19, 8, 2, 0, 0]         | [e2]                 | [e2]                
192   | [0,0,0,0,4,0,0]                | [r1,r2,s1,s2]        | [s2]                
193   | [0,0,0,2,0,0,0]                | [b1]                 | [b1,b2]             
194   | [0,0,1,0,1,0,0]                | [a2]                 | [a1,a2,b1,b2]       
195   | [0,0,0,1,1,0,0]                | [b1,b2]              | [b1]                
196   | [  0,  0,219,747,  4,  0,  1]  | [e3]                 | [e3]                
197   | [0,1,0,0,1,0,0]                | [b2]                 | [a1,a2,b1,b2]       
198   | [0,0,0,2,0,0,0]                | [b1]                 | [a2]                
199   | [0,0,0,0,0,0,0]                | [a1]                 | [b1]                
200   | [0,1,1,0,2,0,1]                | [s1]                 | [r1]                
201   | [0,0,0,1,0,0,0]                | [b1,b2]              | [b2]                
202   | [  0,  0,  0,  0,220,  3,  0]  | [f3]                 | [f3]                
203   | [ 0, 0, 3, 5,15,10, 0]         | [f2]                 | [f2]                
204   | [0,0,0,0,0,0,0]                | [a1]                 | [a1,a2]             
205   | [ 0, 0, 2, 1,14, 6, 0]         | [f2]                 | [f2]                
206   | [ 0, 0,15,35, 0, 0, 0]         | [e2]                 | [e2,e3]             
207   | [0,0,1,0,1,0,0]                | [a2]                 | [r1,r2]             
208   | [0,0,0,2,0,0,0]                | [b1]                 | [s1,s2]             
209   | [ 0, 1,16,36, 0, 1, 0]         | [e2]                 | [e2,e3]             
210   | [0,0,0,0,2,0,1]                | [s1]                 | [a1]                
211   | [  0,  0,  0,  0,225,  0,  0]  | [f3]                 | [f3]                
212   | [ 0, 0, 4, 4,14, 4, 0]         | [f2]                 | [f2]                
213   | [ 0, 0,17, 7, 2, 0, 0]         | [e2]                 | [e2]                
214   | [0,0,0,1,0,0,0]                | [b1,b2]              | [b1]                
215   | [  0,  0,  0,  0,226,  1,  0]  | [f3]                 | [f3]                
216   | [0,0,0,0,0,0,0]                | [a1]                 | [r1]                
217   | [0,0,0,0,0,0,0]                | [a1]                 | [s1,s2]             
218   | [ 0, 0,18, 5, 0, 0, 0]         | [e2]                 | [e2]                
219   | [0,0,0,0,0,0,0]                | [a1]                 | [a1,a2]             
220   | [0,1,0,1,0,0,0]                | [b2]                 | [a1]                
221   | [0,1,0,1,0,1,0]                | [r1,r2,s1,s2]        | [s1,s2]             
222   | [ 0, 0,17,34, 0, 0, 0]         | [e2]                 | [e2,e3]             
223   | [  0,  0, 84,109, 63, 15,  0]  | [f2,f3]              | [e1,e2,f1,f2]       
224   | [0,0,0,0,0,0,0]                | [a1]                 | [a1,a2,b1,b2]       
225   | [ 0, 0,20, 4, 3, 0, 0]         | [e2]                 | [e2]                
226   | [0,0,0,1,2,0,0]                | [r1,r2,s1,s2]        | [a1,a2]             
227   | [0,0,0,0,3,0,0]                | [r1,r2,s1,s2]        | [s1,s2]             
228   | [0,1,0,1,0,2,0]                | [a2]                 | [s1,s2]             
229   | [0,0,0,0,3,0,0]                | [r1,r2,s1,s2]        | [s2]                
230   | [  0,  2, 83,107, 59, 15,  0]  | [f2,f3]              | [e1,e2,f1,f2]       
231   | [0,0,0,0,3,0,0]                | [r1,r2,s1,s2]        | [r1,r2,s1,s2]       
232   | [0,0,0,2,0,0,0]                | [b1]                 | [b1]                
233   | [  2,  0,  0,  1,227,  4,  0]  | [f3]                 | [f3]                
234   | [0,1,0,0,0,0,0]                | [b2]                 | [r1,r2]             
235   | [1,0,0,0,3,0,0]                | [r1,r2,s1,s2]        | [r1,r2]             
236   | [0,0,3,1,4,0,1]                | [r1,r2,s1,s2]        | [b1]                
237   | [ 1, 0, 4, 5,35, 3, 1]         | [f2,f3]              | [f2,f3]             
238   | [0,0,1,0,2,0,0]                | [s1]                 | [a1,a2]             
239   | [  0,  1,213,747,  0,  0,  0]  | [e3]                 | [e3]                
240   | [ 0, 1,15, 6, 1, 0, 0]         | [e2]                 | [e2]                
241   | [0,2,0,1,0,0,0]                | [b2]                 | [b2]                
242   | [0,0,0,0,0,0,0]                | [a1]                 | [r1]                
243   | [0,0,0,3,2,0,0]                | [b1,b2]              | [b1]                
244   | [0,0,0,0,0,0,0]                | [a1]                 | [a1,a2]             
245   | [0,0,0,3,2,0,0]                | [b1,b2]              | [s1,s2]             
246   | [ 0, 0, 2, 4,15, 5, 0]         | [f2]                 | [f2]                
247   | [0,0,0,1,1,0,0]                | [b1,b2]              | [a1,a2,b1,b2]       
248   | [0,0,0,1,1,0,0]                | [b1,b2]              | [a2]                
249   | [0,0,0,1,0,0,0]                | [b1,b2]              | [s2]                
250   | [  0,  0, 79,105, 57, 15,  0]  | [f2,f3]              | [e1,e2,f1,f2]       
251   | [0,1,0,1,0,0,0]                | [b2]                 | [r1,r2,s1,s2]       
252   | [0,0,0,1,1,0,0]                | [b1,b2]              | [a1,a2,b1,b2]       
253   | [0,0,0,0,4,0,0]                | [r1,r2,s1,s2]        | [r2]                
254   | [0,1,0,2,0,0,0]                | [b1]                 | [s2]                
255   | [0,0,0,1,2,0,0]                | [r1,r2,s1,s2]        | [s1]                
256   | [ 0, 0,19,33, 2, 0, 0]         | [e2]                 | [e2,e3]             
257   | [ 2, 0,18, 5, 2, 0, 0]         | [e2]                 | [e2]                
258   | [ 1, 0,19,27, 3, 0, 0]         | [e2]                 | [e2,e3]             
259   | [0,0,0,0,0,0,0]                | [a1]                 | [s1]                
260   | [0,0,0,2,0,0,0]                | [b1]                 | [s2]                
261   | [0,0,0,0,2,0,0]                | [s1]                 | [a2]                
262   | [ 0, 0, 2, 5,14, 8, 0]         | [f2]                 | [f2]                
263   | [0,1,0,0,1,0,0]                | [b2]                 | [a1,a2,b1,b2]       
264   | [0,0,0,1,1,0,0]                | [b1,b2]              | [r1,r2]             
265   | [ 0, 1, 2, 5,32, 5, 0]         | [f2,f3]              | [f2,f3]             
266   | [0,0,0,0,2,0,0]                | [s1]                 | [r2]                
267   | [0,0,0,0,2,0,0]                | [s1]                 | [r2]                
268   | [0,0,1,0,2,0,0]                | [s1]                 | [a1]                
269   | [ 0, 0,19,34, 2, 0, 0]         | [e2]                 | [e2,e3]             
270   | [0,0,0,1,2,0,0]                | [r1,r2,s1,s2]        | [a1,a2,b1,b2]       
271   | [0,1,0,3,1,0,0]                | [b1]                 | [b2]                
272   | [  0,  2,213,748,  0,  1,  0]  | [e3]                 | [e3]                
273   | [0,0,0,0,2,0,1]                | [s1]                 | [s1,s2]             
274   | [3,0,4,0,5,0,3]                | [r1,r2,s1,s2]        | [a2]                
275   | [0,1,0,2,1,0,0]                | [b1]                 | [b1]                
276   | [0,0,1,0,2,0,0]                | [s1]                 | [a1]                
277   | [0,0,0,1,2,0,0]                | [r1,r2,s1,s2]        | [s1,s2]             
278   | [0,0,0,0,0,0,0]                | [a1]                 | [s1]                
279   | [  0,  0,  0,  0,223,  4,  0]  | [f3]                 | [f3]                
280   | [0,0,0,0,2,0,0]                | [s1]                 | [a1,a2,b1,b2]       
281   | [0,0,0,1,3,0,0]                | [r1,r2,s1,s2]        | [s2]                
282   | [0,0,0,0,0,0,0]                | [a1]                 | [r1]                
283   | [0,0,0,0,4,0,1]                | [r1,r2,s1,s2]        | [s1,s2]             
284   | [0,0,0,0,2,0,0]                | [s1]                 | [a1,a2,b1,b2]       
285   | [  0,  2,218,748,  1,  0,  0]  | [e3]                 | [e3]                
286   | [0,0,0,0,0,0,0]                | [a1]                 | [b1]                
287   | [  0,  0,218,749,  3,  1,  0]  | [e3]                 | [e3]                
288   | [0,3,0,2,1,2,0]                | [a2]                 | [a2]                
289   | [  0,  0, 80,106, 58, 15,  0]  | [f2,f3]              | [e1,e2,f1,f2]       
290   | [0,0,0,1,0,0,0]                | [b1,b2]              | [r1,r2]             
291   | [0,0,0,0,3,0,0]                | [r1,r2,s1,s2]        | [r1,r2,s1,s2]       
292   | [0,0,0,0,0,0,0]                | [a1]                 | [r2]                
293   | [ 0, 0, 2, 0,30, 0, 0]         | [f2,f3]              | [f2,f3]             
294   | [0,0,2,2,2,0,0]                | [b1,b2]              | [b1,b2]             
295   | [ 0, 1,16, 9, 1, 1, 0]         | [e2]                 | [e2]                
296   | [0,0,0,0,1,0,0]                | [a1]                 | [r1]                
297   | [ 0, 0, 0, 3,31, 5, 0]         | [f2,f3]              | [f2,f3]             
298   | [  0,  2,214,751,  0,  3,  0]  | [e3]                 | [e3]                
299   | [0,0,0,0,1,0,0]                | [a1]                 | [s2]                
300   | [ 0, 0, 3, 2,33, 0, 0]         | [f2,f3]              | [f2,f3]             
301   | [  0,  1,  0,  1,223,  4,  0]  | [f3]                 | [f3]                
302   | [ 0, 0,14, 6, 0, 0, 0]         | [e2]                 | [e2]                
303   | [ 0, 0,17,32, 0, 0, 0]         | [e2]                 | [e2,e3]             
304   | [ 0, 1,16,34, 0, 0, 0]         | [e2]                 | [e2,e3]             
305   | [  0,  0, 80,108, 58, 18,  0]  | [f2,f3]              | [e1,e2,f1,f2]       
306   | [0,0,0,3,0,0,0]                | [b1]                 | [b1]                
307   | [0,0,0,1,3,0,0]                | [r1,r2,s1,s2]        | [r1,r2,s1,s2]       
308   | [ 1, 0,18, 7, 2, 0, 0]         | [e2]                 | [e2]                
309   | [ 0, 0,18, 7, 2, 0, 0]         | [e2]                 | [e2]                
310   | [0,0,0,1,1,0,0]                | [b1,b2]              | [a2]                
311   | [  0,  0, 83,107, 61, 16,  0]  | [f2,f3]              | [e1,e2,f1,f2]       
312   | [0,0,0,0,1,0,0]                | [a1]                 | [b1,b2]             
313   | [ 0, 0,20,35, 2, 0, 0]         | [e2]                 | [e2,e3]             
314   | [ 0, 0, 3, 4,33, 5, 0]         | [f2,f3]              | [f2,f3]             
315   | [0,0,0,0,0,1,0]                | [r1,r2,s1,s2]        | [s2]                
316   | [0,0,0,2,0,0,0]                | [b1]                 | [r2]                
317   | [0,0,0,0,3,0,0]                | [r1,r2,s1,s2]        | [s1,s2]             
318   | [ 0, 0,16, 7, 0, 0, 0]         | [e2]                 | [e2]                
319   | [0,0,0,2,3,0,0]                | [r1,r2,s1,s2]        | [b1]                
320   | [ 0, 0,13,35, 0, 0, 0]         | [e2]                 | [e2,e3]             
321   | [  0,  0,  0,  2,224,  5,  0]  | [f3]                 | [f3]                
322   | [0,0,0,0,1,0,0]                | [a1]                 | [a1,a2,b1,b2]       
323   | [0,0,1,0,4,0,1]                | [r1,r2,s1,s2]        | [r1,r2,s1,s2]       
324   | [0,0,0,0,0,0,0]                | [a1]                 | [r1,r2,s1,s2]       
325   | [0,0,0,0,1,0,0]                | [a1]                 | [r1,r2]             
326   | [ 0, 0, 3, 5,14, 9, 0]         | [f2]                 | [f2]                
327   | [0,0,0,0,0,0,0]                | [a1]                 | [a1]                
328   | [0,1,0,2,0,0,0]                | [b1]                 | [b1,b2]             
329   | [0,1,0,1,0,0,0]                | [b2]                 | [s1,s2]             
330   | [0,0,0,0,0,0,0]                | [a1]                 | [r1,r2]             
331   | [0,0,0,1,0,0,0]                | [b1,b2]              | [r1,r2]             
332   | [0,0,0,0,0,0,0]                | [a1]                 | [b1]                
333   | [0,0,0,1,2,0,0]                | [r1,r2,s1,s2]        | [s1]                
334   | [ 0, 0,19, 2, 2, 0, 0]         | [e2]                 | [e2]                
335   | [0,0,0,0,4,0,0]                | [r1,r2,s1,s2]        | [s2]                
336   | [ 0, 1, 2, 6,15, 7, 0]         | [f2]                 | [f2]                
337   | [0,0,2,1,4,0,0]                | [r1,r2,s1,s2]        | [r1,r2]             
338   | [ 0, 0, 0, 7,13,11, 0]         | [f2]                 | [f2]                
339   | [  0,  0,  0,  0,226,  5,  0]  | [f3]                 | [f3]                
340   | [ 0, 0,18,29, 1, 0, 0]         | [e2]                 | [e2,e3]             
341   | [  0,  0,  0,  0,225,  2,  0]  | [f3]                 | [f3]                
342   | [0,0,0,1,1,0,0]                | [b1,b2]              | [b2]                
343   | [0,0,0,0,0,0,0]                | [a1]                 | [r1,r2,s1,s2]       
344   | [  0,  3,219,748,  3,  0,  0]  | [e3]                 | [e3]                
345   | [0,0,0,0,0,0,0]                | [a1]                 | [a1]                
346   | [0,0,0,0,1,0,0]                | [a1]                 | [a2]                
347   | [0,0,0,2,1,0,0]                | [b1]                 | [b2]                
348   | [ 0, 0, 4, 4,16, 9, 0]         | [f2]                 | [f2]                
349   | [0,1,0,2,2,0,0]                | [b1,b2]              | [a2]                
350   | [ 0, 0, 0, 7,10, 9, 0]         | [f2]                 | [f2]                
351   | [  0,  0, 84,107, 63, 15,  0]  | [f2,f3]              | [e1,e2,f1,f2]       
352   | [0,1,0,4,0,0,0]                | [b1]                 | [a2]                
353   | [0,0,0,0,0,0,0]                | [a1]                 | [a1,a2,b1,b2]       
354   | [1,0,2,0,4,0,2]                | [r1,r2,s1,s2]        | [s1,s2]             
355   | [0,0,0,1,3,0,2]                | [r1,r2,s1,s2]        | [r1,r2]             
356   | [0,0,0,0,0,0,0]                | [a1]                 | [a2]                
357   | [  0,  2,214,748,  0,  0,  0]  | [e3]                 | [e3]                
358   | [0,0,0,1,1,0,0]                | [b1,b2]              | [a1,a2,b1,b2]       
359   | [  0,  0,  0,  0,228,  4,  0]  | [f3]                 | [f3]                
360   | [0,0,0,0,2,0,0]                | [s1]                 | [r2]                
361   | [0,0,0,1,1,0,0]                | [b1,b2]              | [a2]                
362   | [0,0,1,0,2,0,0]                | [s1]                 | [a1,a2,b1,b2]       
363   | [0,0,0,0,1,0,0]                | [a1]                 | [a1,a2,b1,b2]       
364   | [0,0,0,2,0,0,0]                | [b1]                 | [r1]                
365   | [0,1,0,0,0,0,0]                | [b2]                 | [a1,a2]             
366   | [ 0, 0, 0, 4,12, 8, 0]         | [f2]                 | [f2]                
367   | [0,0,0,0,1,0,0]                | [a1]                 | [r1,r2]             
368   | [0,1,0,1,0,0,0]                | [b2]                 | [b1,b2]             
369   | [0,0,0,0,0,0,0]                | [a1]                 | [a1,a2,b1,b2]       
370   | [0,0,0,2,0,0,0]                | [b1]                 | [b2]                
371   | [0,0,0,0,0,0,0]                | [a1]                 | [r1]                
372   | [0,0,0,1,0,0,0]                | [b1,b2]              | [a2]                
373   | [0,0,0,0,0,0,0]                | [a1]                 | [s2]                
374   | [0,0,0,3,2,0,0]                | [b1,b2]              | [b1]                
375   | [0,0,0,0,1,0,0]                | [a1]                 | [b1]                
376   | [ 0, 0,18, 4, 3, 0, 0]         | [e2]                 | [e2]                
377   | [0,0,0,0,0,0,0]                | [a1]                 | [r1,r2]             
378   | [0,0,0,0,3,0,0]                | [r1,r2,s1,s2]        | [r1]                
379   | [0,0,0,0,1,0,0]                | [a1]                 | [r1,r2]             
380   | [0,0,0,0,0,0,0]                | [a1]                 | [b1]                
381   | [0,0,0,0,1,0,0]                | [a1]                 | [r1,r2,s1,s2]       
382   | [0,0,0,0,1,0,0]                | [a1]                 | [r1,r2,s1,s2]       
383   | [0,0,0,1,1,0,0]                | [b1,b2]              | [b2]                
384   | [0,0,0,2,0,0,0]                | [b1]                 | [b2]                
385   | [ 0, 0, 1, 2,31, 1, 0]         | [f2,f3]              | [f2,f3]             
386   | [0,0,0,0,0,0,0]                | [a1]                 | [b1,b2]             
387   | [  0,  2,219,750,  2,  0,  0]  | [e3]                 | [e3]                
388   | [0,0,0,0,0,0,0]                | [a1]                 | [s1]                
389   | [0,0,0,0,0,0,0]                | [a1]                 | [a1]                
390   | [0,0,0,0,1,0,0]                | [a1]                 | [s2]                
391   | [0,0,0,0,0,0,0]                | [a1]                 | [a1,a2,b1,b2]       
392   | [0,0,0,2,0,0,0]                | [b1]                 | [s2]                
393   | [  1,  0, 86,105, 62, 13,  0]  | [f2,f3]              | [e1,e2,f1,f2]       
394   | [0,0,0,0,2,0,0]                | [s1]                 | [s1]                
395   | [  0,  0, 85,106, 63, 14,  0]  | [f2,f3]              | [e1,e2,f1,f2]       
396   | [ 1, 0, 4, 4,17, 8, 1]         | [f2]                 | [f2]                
397   | [0,0,0,1,0,0,0]                | [b1,b2]              | [r1,r2]             
398   | [0,0,1,0,4,0,1]                | [r1,r2,s1,s2]        | [s1,s2]             
399   | [0,0,0,0,0,0,0]                | [a1]                 | [r2]                
400   | [0,0,0,0,0,0,0]                | [a1]                 | [r1,r2,s1,s2]       
401   | [0,0,0,0,2,0,0]                | [s1]                 | [r2]                
402   | [ 0, 0,14,32, 0, 0, 0]         | [e2]                 | [e2,e3]             
403   | [0,0,0,0,0,0,0]                | [a1]                 | [a1,a2]             
404   | [0,0,0,0,2,0,0]                | [s1]                 | [b2]                
405   | [0,0,0,0,3,0,0]                | [r1,r2,s1,s2]        | [s1,s2]             
406   | [0,0,0,0,3,0,0]                | [r1,r2,s1,s2]        | [s1,s2]             
407   | [0,0,0,0,2,0,0]                | [s1]                 | [r2]                
408   | [  0,  0, 84,110, 62, 15,  0]  | [f2,f3]              | [e1,e2,f1,f2]       
409   | [0,0,0,0,2,0,0]                | [s1]                 | [a1]                
410   | [0,0,0,0,1,0,0]                | [a1]                 | [b2]                
411   | [  0,  0, 82,107, 61, 16,  0]  | [f2,f3]              | [e1,e2,f1,f2]       
412   | [  0,  0, 83,103, 60, 13,  0]  | [f2,f3]              | [e1,e2,f1,f2]       
413   | [ 0, 0, 0, 4,30, 4, 0]         | [f2,f3]              | [f2,f3]             
414   | [  0,  2,217,745,  3,  0,  0]  | [e3]                 | [e3]                
415   | [0,0,0,0,0,0,0]                | [a1]                 | [r2]                
416   | [0,0,0,1,0,0,0]                | [b1,b2]              | [r1]                
417   | [ 0, 0,18, 8, 0, 0, 0]         | [e2]                 | [e2]                
418   | [0,0,0,2,1,0,0]                | [b1]                 | [b1]                
419   | [ 0, 0, 1, 6,33, 4, 0]         | [f2,f3]              | [f2,f3]             
420   | [  1,  0,218,749,  4,  0,  0]  | [e3]                 | [e3]                
421   | [0,0,0,0,0,0,0]                | [a1]                 | [r1]                
422   | [0,2,1,3,2,3,0]                | [a2]                 | [a2]                
423   | [ 0, 0, 2, 4,33, 4, 0]         | [f2,f3]              | [f2,f3]             
424   | [0,0,0,0,1,0,0]                | [a1]                 | [r2]                
425   | [0,0,0,0,0,0,0]                | [a1]                 | [a1,a2,b1,b2]       
426   | [0,0,0,2,0,0,0]                | [b1]                 | [a1,a2]             
427   | [1,0,0,0,2,0,0]                | [s1]                 | [b1,b2]             
428   | [0,0,1,2,1,0,0]                | [b1]                 | [b2]                
429   | [0,0,0,0,1,0,0]                | [a1]                 | [r1]                
430   | [0,0,0,0,0,0,0]                | [a1]                 | [a1,a2]             
431   | [ 0, 0, 0, 6,28, 5, 0]         | [f2,f3]              | [f2,f3]             
432   | [0,0,0,0,1,0,0]                | [a1]                 | [r1,r2]             
433   | [1,0,0,0,2,0,0]                | [s1]                 | [r1,r2]             
434   | [0,0,0,0,0,0,0]                | [a1]                 | [b1]                
435   | [0,0,0,0,1,0,0]                | [a1]                 | [a1,a2]             
436   | [ 0, 0,16, 5, 2, 0, 0]         | [e2]                 | [e2]                
437   | [0,0,0,0,1,0,0]                | [a1]                 | [r2]                
438   | [0,0,0,0,0,0,0]                | [a1]                 | [r1,r2]             
439   | [0,0,0,0,0,0,0]                | [a1]                 | [s1,s2]             
440   | [0,0,1,0,1,0,0]                | [a2]                 | [b2]                
441   | [0,0,0,0,3,0,0]                | [r1,r2,s1,s2]        | [s1,s2]             
442   | [0,0,0,0,1,0,0]                | [a1]                 | [r1]                
443   | [0,0,0,1,2,0,0]                | [r1,r2,s1,s2]        | [a1]                
444   | [  0,  0, 82,108, 61, 16,  0]  | [f2,f3]              | [e1,e2,f1,f2]       
445   | [0,0,0,0,3,0,1]                | [r1,r2,s1,s2]        | [s2]                
446   | [  0,  0,216,749,  0,  2,  0]  | [e3]                 | [e3]                
447   | [  0,  0,216,746,  1,  0,  0]  | [e3]                 | [e3]                
448   | [  0,  0,  0,  1,221,  3,  0]  | [f3]                 | [f3]                
449   | [2,0,1,0,2,0,0]                | [s1]                 | [a2]                
450   | [ 0, 0,20, 3, 2, 0, 0]         | [e2]                 | [e2]                
451   | [  0,  0,217,748,  3,  2,  0]  | [e3]                 | [e3]                
452   | [0,0,1,0,2,0,0]                | [s1]                 | [s1]                
453   | [ 0, 0,17,34, 2, 0, 0]         | [e2]                 | [e2,e3]             
454   | [  0,  0, 79,106, 58, 17,  0]  | [f2,f3]              | [e1,e2,f1,f2]       
455   | [0,0,0,1,0,0,0]                | [b1,b2]              | [b1,b2]             
456   | [0,0,0,0,0,0,0]                | [a1]                 | [a1]                
457   | [0,0,0,0,1,0,0]                | [a1]                 | [r1]                
458   | [ 0, 0,18, 6, 2, 0, 0]         | [e2]                 | [e2]                
459   | [0,2,0,0,0,0,0]                | [b2]                 | [s1]                
460   | [0,0,0,0,1,0,0]                | [a1]                 | [a1,a2,b1,b2]       
461   | [0,0,0,0,4,0,0]                | [r1,r2,s1,s2]        | [s1,s2]             
462   | [  0,  1, 84,107, 60, 17,  0]  | [f2,f3]              | [e1,e2,f1,f2]       
463   | [0,0,0,0,3,0,0]                | [r1,r2,s1,s2]        | [a1]                
464   | [0,0,0,0,0,0,0]                | [a1]                 | [a1]                
465   | [  0,  4,215,748,  0,  0,  0]  | [e3]                 | [e3]                
466   | [0,0,0,2,1,0,0]                | [b1]                 | [b1]                
467   | [0,0,0,1,1,0,0]                | [b1,b2]              | [b1]                
468   | [0,0,0,0,2,0,0]                | [s1]                 | [r1,r2,s1,s2]       
469   | [0,0,0,0,0,0,0]                | [a1]                 | [a2]                
470   | [ 0, 0,19, 8, 2, 0, 0]         | [e2]                 | [e2]                
471   | [0,0,0,0,0,0,0]                | [a1]                 | [a1]                
472   | [0,0,0,0,3,0,0]                | [r1,r2,s1,s2]        | [s1,s2]             
473   | [0,1,0,2,0,0,0]                | [b1]                 | [r1,r2,s1,s2]       
474   | [0,0,0,0,3,0,0]                | [r1,r2,s1,s2]        | [r1,r2]             
475   | [0,1,0,1,0,0,0]                | [b2]                 | [r1]                
476   | [0,0,0,1,1,0,0]                | [b1,b2]              | [b1,b2]             
477   | [ 0, 0, 1, 3,31, 1, 0]         | [f2,f3]              | [f2,f3]             
478   | [0,0,0,0,0,0,0]                | [a1]                 | [a1]                
479   | [ 0, 0, 3, 7,31, 6, 0]         | [f2,f3]              | [f2,f3]             
480   | [  0,  0,  0,  0,226,  3,  0]  | [f3]                 | [f3]                
481   | [1,0,1,0,1,0,0]                | [a2]                 | [a1,a2,b1,b2]       
482   | [0,1,0,0,0,0,0]                | [b2]                 | [b2]                
483   | [ 0, 0, 1, 4,15, 9, 0]         | [f2]                 | [f2]                
484   | [0,0,0,0,0,0,0]                | [a1]                 | [r2]                
485   | [ 0, 1, 0, 5,12, 9, 0]         | [f2]                 | [f2]                
486   | [0,0,0,1,0,0,0]                | [b1,b2]              | [b1,b2]             
487   | [  0,  2,212,748,  0,  0,  0]  | [e3]                 | [e3]                
488   | [0,1,0,0,0,0,0]                | [b2]                 | [a1,a2]             
489   | [0,0,0,0,0,0,0]                | [a1]                 | [a1,a2,b1,b2]       
490   | [  0,  0,  0,  2,223,  3,  0]  | [f3]                 | [f3]                
491   | [  0,  0,  0,  0,226,  3,  0]  | [f3]                 | [f3]                
492   | [0,0,0,0,2,0,0]                | [s1]                 | [b2]                
493   | [0,0,0,2,2,0,0]                | [b1,b2]              | [a1]                
494   | [0,0,0,0,1,0,0]                | [a1]                 | [r1,r2]             
495   | [ 0, 0, 1, 3,32, 2, 0]         | [f2,f3]              | [f2,f3]             
496   | [0,0,0,0,0,0,0]                | [a1]                 | [a1]                
497   | [  0,  0, 84,107, 62, 14,  0]  | [f2,f3]              | [e1,e2,f1,f2]       
498   | [0,1,0,0,2,0,0]                | [s1]                 | [a1,a2]             
499   | [0,0,0,1,2,0,0]                | [r1,r2,s1,s2]        | [s1]                
500   | [ 0, 0,18,32, 1, 0, 0]         | [e2]                 | [e2,e3]             
501   | [0,0,0,1,1,0,0]                | [b1,b2]              | [r1,r2,s1,s2]       
502   | [0,0,0,1,4,0,0]                | [r1,r2,s1,s2]        | [s2]                
503   | [1,0,0,0,2,0,0]                | [s1]                 | [r1,r2,s1,s2]       
504   | [ 0, 0,18,31, 2, 0, 0]         | [e2]                 | [e2,e3]             
505   | [0,0,0,0,1,0,0]                | [a1]                 | [a1]                
506   | [ 0, 0, 0, 5,10, 8, 0]         | [f2]                 | [f2]                
507   | [0,0,0,0,3,0,0]                | [r1,r2,s1,s2]        | [s1,s2]             
508   | [0,0,0,1,0,0,0]                | [b1,b2]              | [b1,b2]             
509   | [  0,  0,  0,  0,224,  5,  0]  | [f3]                 | [f3]                
510   | [0,1,0,1,0,0,0]                | [b2]                 | [a2]                
511   | [0,0,0,2,1,0,0]                | [b1]                 | [a1,a2]             
512   | [ 0, 0, 2, 4,16, 7, 0]         | [f2]                 | [f2]                
513   | [0,0,0,1,0,0,0]                | [b1,b2]              | [b2]                
514   | [0,0,1,0,1,0,0]                | [a2]                 | [s2]                
515   | [ 0, 0,18, 5, 2, 0, 0]         | [e2]                 | [e2]                
