Input | IR Sensor Values               | Predicted            | Actual              
1988  | [0,0,0,0,0,0,0]                | [a1]                 | [a2]                
1989  | [0,0,0,0,2,0,0]                | [s1]                 | [s1,s2]             
1990  | [0,0,0,0,0,0,0]                | [a1]                 | [a1]                
1991  | [ 0, 0,17, 6, 0, 1, 0]         | [e2]                 | [e2]                
1992  | [0,1,0,0,0,0,0]                | [b2]                 | [s1]                
1993  | [  0,  0, 84,106, 61, 15,  0]  | [f2,f3]              | [e1,e2,f1,f2]       
1994  | [0,0,0,0,1,0,0]                | [a1]                 | [r2]                
1995  | [ 0, 0, 2, 2,12, 8, 0]         | [f2]                 | [f2]                
1996  | [0,0,0,0,4,0,0]                | [r1,r2,s1,s2]        | [s1,s2]             
1997  | [0,0,0,1,1,0,0]                | [b1,b2]              | [a1,a2,b1,b2]       
1998  | [ 0, 0,19,34, 1, 0, 0]         | [e2]                 | [e2,e3]             
1999  | [0,0,0,0,0,0,0]                | [a1]                 | [b1]                
2000  | [  0,  1,218,749,  4,  0,  0]  | [e3]                 | [e3]                
2001  | [0,0,0,0,0,0,0]                | [a1]                 | [r1,r2]             
2002  | [ 0, 0, 1, 5,14, 9, 0]         | [f2]                 | [f2]                
2003  | [0,1,0,2,1,0,0]                | [b1]                 | [s1]                
2004  | [0,0,0,1,2,0,0]                | [r1,r2,s1,s2]        | [a1,a2]             
2005  | [  0,  0, 80,107, 60, 17,  0]  | [f2,f3]              | [e1,e2,f1,f2]       
2006  | [0,0,0,2,1,0,0]                | [b1]                 | [a2]                
2007  | [ 0, 0, 1, 3,31, 4, 0]         | [f2,f3]              | [f2,f3]             
2008  | [ 0, 0, 3, 1,34, 0, 0]         | [f2,f3]              | [f2,f3]             
2009  | [0,0,0,0,0,0,0]                | [a1]                 | [r1,r2,s1,s2]       
2010  | [0,0,0,0,0,0,0]                | [a1]                 | [r1]                
2011  | [ 0, 1,17, 7, 0, 0, 0]         | [e2]                 | [e2]                
2012  | [0,0,0,1,1,0,0]                | [b1,b2]              | [b1]                
2013  | [0,2,0,1,1,0,0]                | [b2]                 | [b2]                
2014  | [0,0,0,2,0,0,0]                | [b1]                 | [a1,a2,b1,b2]       
2015  | [0,1,1,4,2,1,0]                | [r1,r2,s1,s2]        | [a2]                
2016  | [  0,  2,  0,  1,227,  3,  0]  | [f3]                 | [f3]                
2017  | [0,0,0,1,2,0,0]                | [r1,r2,s1,s2]        | [b1]                
2018  | [0,0,0,1,1,0,0]                | [b1,b2]              | [a1,a2]             
2019  | [ 0, 0,15,35, 0, 0, 0]         | [e2]                 | [e2,e3]             
2020  | [0,0,0,1,1,0,0]                | [b1,b2]              | [r1]                
2021  | [0,0,1,0,0,0,0]                | [a2]                 | [r1,r2]             
2022  | [0,0,0,0,0,0,0]                | [a1]                 | [a1,a2]             
2023  | [0,1,0,1,0,1,0]                | [r1,r2,s1,s2]        | [r1,r2]             
2024  | [ 0, 0,14, 7, 0, 0, 0]         | [e2]                 | [e2]                
2025  | [0,0,0,0,2,0,0]                | [s1]                 | [a2]                
2026  | [ 0, 0, 3, 4,16, 6, 0]         | [f2]                 | [f2]                
2027  | [ 0, 0,19,31, 1, 0, 0]         | [e2]                 | [e2,e3]             
2028  | [0,0,0,1,0,0,0]                | [b1,b2]              | [b1]                
2029  | [0,0,0,0,0,0,0]                | [a1]                 | [a1,a2,b1,b2]       
2030  | [0,0,0,1,0,0,0]                | [b1,b2]              | [r1,r2,s1,s2]       
2031  | [0,0,0,2,0,0,0]                | [b1]                 | [b1,b2]             
2032  | [0,0,0,3,1,0,0]                | [b1]                 | [b2]                
2033  | [0,0,0,1,3,0,1]                | [r1,r2,s1,s2]        | [r2]                
2034  | [  0,  0,217,748,  1,  0,  0]  | [e3]                 | [e3]                
2035  | [ 0, 0,16,29, 0, 0, 0]         | [e2]                 | [e2,e3]             
2036  | [0,0,0,0,2,0,0]                | [s1]                 | [s1,s2]             
2037  | [0,0,0,0,0,0,0]                | [a1]                 | [r1]                
2038  | [ 0, 1,15, 9, 0, 2, 0]         | [e2]                 | [e2]                
2039  | [0,0,0,0,2,0,0]                | [s1]                 | [b2]                
2040  | [0,0,0,0,0,0,0]                | [a1]                 | [a1,a2]             
2041  | [0,0,0,0,0,0,0]                | [a1]                 | [b2]                
2042  | [0,0,0,0,2,0,0]                | [s1]                 | [a1]                
