Input | IR Sensor Values                    | Predicted                                          | Actual                                            
1240  | 6,13,17,23,16,7,7                   | c2                                                 | c3                                                
1241  | 0,0,0,6,29,7,0                      | f2, f3                                             | f2, f3                                            
1242  | 0,0,0,6,10,8,0                      | f2                                                 | f2                                                
1243  | 0,0,0,0,2,0,0                       |                                                    | r1, r2                                            
1244  | 3,13,16,20,12,1,5                   | c2, g3                                             | c2, g3                                            
1245  | 5,13,14,21,12,4,6                   | c2, g3                                             | c2, g3                                            
1246  | 0,0,0,2,0,0,0                       |                                                    | b1, b2                                            
1247  | 0,0,1,0,2,0,1                       |                                                    | r2                                                
1248  | 0,1,0,1,1,0,0                       |                                                    | s2                                                
1249  | 0,0,0,0,3,0,0                       |                                                    | r1, r2, s1, s2                                    
1250  | 0,0,0,0,0,0,0                       |                                                    | r1, r2                                            
1251  | 3,8,14,16,12,0,5                    | c2                                                 | c2                                                
1252  | 0,0,218,748,2,1,0                   | e3                                                 | e3                                                
1253  | 0,0,0,0,2,0,0                       |                                                    | a2                                                
1254  | 1,0,4,2,15,6,0                      | f2                                                 | f2                                                
1255  | 5,8,17,15,13,3,6                    | g3                                                 | c2                                                
1256  | 0,0,0,5,33,6,0                      | f2, f3                                             | f2, f3                                            
1257  | 0,0,1,0,2,0,0                       |                                                    | a1                                                
1258  | 0,0,0,0,1,0,0                       |                                                    | r1, r2                                            
1259  | 0,0,17,8,1,0,0                      | e3                                                 | e3                                                
1260  | 0,0,0,1,1,0,0                       |                                                    | r1                                                
1261  | 5,14,14,20,11,4,5                   | c2, g3                                             | c2, g3                                            
1262  | 0,0,0,0,1,0,0                       |                                                    | a1, a2, b1, b2                                    
1263  | 0,1,2,5,30,4,0                      | f2, f3                                             | f2, f3                                            
1264  | 2,9,12,13,11,2,0                    | g3                                                 | g3                                                
1265  | 0,0,0,0,0,0,0                       |                                                    | r1                                                
1266  | 0,0,0,1,0,0,0                       |                                                    | a1                                                
1267  | 0,0,84,106,61,16,0                  | e2, e3, f2, f3                                     | e2, e3, f2, f3                                    
1268  | 4,14,18,21,16,3,6                   | c2, g3                                             | c2, g3                                            
1269  | 0,2,0,1,2,0,0                       |                                                    | b1                                                
1270  | 0,3,214,748,0,0,0                   | e3                                                 | e3                                                
1271  | 0,0,1,2,226,7,0                     | f3                                                 | f3                                                
1272  | 2,9,10,17,10,3,0                    |                                                    | c2                                                
1273  | 0,0,0,0,0,0,0                       |                                                    | r1, r2                                            
1274  | 0,0,3,6,15,7,0                      | f2                                                 | f2                                                
1275  | 0,0,0,1,0,0,0                       |                                                    | r2                                                
1276  | 0,0,0,0,3,0,0                       |                                                    | s1, s2                                            
1277  | 0,0,0,0,0,0,0                       |                                                    | a1, a2                                            
1278  | 0,1,0,0,1,0,0                       |                                                    | a2                                                
1279  | 0,0,0,0,3,0,0                       |                                                    | r1, r2, s1, s2                                    
1280  | 0,0,0,0,2,0,0                       |                                                    | r2                                                
1281  | 0,0,0,0,1,0,0                       |                                                    | r1, r2                                            
1282  | 0,0,0,0,1,0,0                       |                                                    | r1, r2, s1, s2                                    
1283  | 2,9,11,18,9,5,1                     |                                                    | g3                                                
1284  | 0,0,0,2,1,0,0                       |                                                    | b1                                                
1285  | 0,0,0,0,221,5,0                     | f3                                                 | f3                                                
1286  | 0,0,0,2,2,0,0                       |                                                    | b1                                                
1287  | 0,0,0,0,0,0,0                       |                                                    | a1                                                
1288  | 0,0,0,0,0,0,0                       |                                                    | a1, a2                                            
1289  | 0,1,0,2,0,0,0                       |                                                    | b1, b2                                            
1290  | 0,0,0,0,0,0,0                       |                                                    | r1                                                
1291  | 0,0,0,0,2,0,0                       |                                                    | b1, b2                                            
1292  | 0,1,0,1,0,0,0                       |                                                    | b1, b2                                            
1293  | 5,9,14,11,12,3,5                    | g3                                                 | g3                                                
1294  | 0,0,0,2,0,0,0                       |                                                    | a1, a2                                            
1295  | 0,1,0,0,0,0,0                       |                                                    | a1                                                
1296  | 1,7,14,14,12,2,4                    | g3                                                 | g3                                                
1297  | 0,0,0,0,0,0,0                       |                                                    | a1, a2, b1, b2                                    
1298  | 0,0,84,105,63,12,0                  | e2, e3, f2, f3                                     | e2, e3, f2, f3                                    
1299  | 0,12,11,19,10,8,1                   | c2                                                 | c2                                                
1300  | 0,0,0,1,0,0,0                       |                                                    | b2                                                
1301  | 0,0,0,0,1,0,0                       |                                                    | s1, s2                                            
1302  | 2,7,10,14,10,3,4                    | g3                                                 | g3                                                
1303  | 4,12,13,17,12,0,5                   | c2                                                 | c2                                                
1304  | 7,9,16,15,14,3,7                    | g3                                                 | g3                                                
1305  | 0,0,17,7,1,0,0                      | e3                                                 | e3                                                
1306  | 0,0,84,107,63,15,0                  | e2, e3, f2, f3                                     | e2, e3, f2, f3                                    
1307  | 0,0,0,2,3,0,0                       |                                                    | b1                                                
1308  | 0,0,0,0,0,0,0                       |                                                    | r1, r2                                            
1309  | 0,0,19,35,3,0,0                     | e3                                                 | e3                                                
1310  | 1,0,0,0,2,0,0                       |                                                    | r1, r2, s1, s2                                    
1311  | 0,0,16,35,0,0,0                     | e3                                                 | e3                                                
1312  | 0,0,0,0,2,0,0                       |                                                    | a2                                                
